Affial,Kampaň,XML feed,Formát
Zdraví,Namaximum.cz,https://greenmedical.venalio.com/feeds/heureka?websiteLanguageId=2&secretKey=6rh8m9v0idfjbx4jhdkw7n4wo4wi75y1rt70y12x,Heureka
Zdraví,Namaximum.sk,https://greenmedical.venalio.com/feeds/heureka?websiteLanguageId=1&secretKey=gfcqk793m9iifpodwnssfh9s7sdnfqryy2zshrfw,Heureka
Zdraví,Chiashake.cz,https://www.chiashake.cz/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Chiashake.cz,https://chiashake.cz/wp-content/uploads/google_feed.xml,Google
Zdraví,Chiashake.sk,https://chiashake.sk/wp-content/uploads/google_feed.xml,Google
Zdraví,Chiashake.sk,https://www.chiashake.sk/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Chiashake.hu,https://www.chiashake.hu/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Chiashake.hu,https://www.chiashake.hu/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Chiashake.pl,https://www.chiashake.pl/feed-heureka-2lkmu0rfo9.xml,Google
Zdraví,Chiashake.pl,https://www.chiashake.pl/feed-heureka-2lkmu0rfo9.xml,Google
Zdraví,Mixslim.cz,https://www.mixslim.cz/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Mixslim.cz,https://www.mixslim.cz/feed-google-merchant-2lkmu0rfo9.xml,Google
Zdraví,Mixslim.sk,https://storage.feedyio.com/s2wswy-4s.myshopify.com/67e2aedab2c39e001b952067.xml,Google
Zdraví,Mixslim.sk,https://www.mixslim.sk/feed-heureka-2lkmu0rfo9.xml,Heureka
Zdraví,Mixslim.pl,https://www.mixslim.pl/feed-google-merchant-2lkmu0rfo9.xml,Google
Zdraví,Superstrava.sk,https://www.superstrava.sk/heureka/export/products.xml,Heureka
Zdraví,Superstrava.sk,https://www.superstrava.sk/universal.xml,Univerzal
Zdraví,Powerlogy.com,https://powerlogy.com/wp-load.php?security_token=04257cbc6808a620&export_id=46&action=get_data,Google
Zdraví,Powerlogy.com,https://powerlogy.com/wp-content/uploads/wpallexport/exports/55f587f59fd8330d834ce3dc733b6c31/current-CRON-heureka-xml-feed.xml,Heureka
Zdraví,Powerlogy.cz, https://powerlogy.cz/wp-load.php?security_token=a271c6704cd333f5&export_id=70&action=get_data,Google
Zdraví,Powerlogy.cz,https://powerlogy.cz/wp-content/uploads/wpallexport/exports/d35fe88e772017e42c6beccdc8137dea/current-CRON-heureka-xml-feed.xml,Heureka
Zdraví,Feminus.cz,https://www.feminus.cz/feed/Detail?id=heureka,Heureka
Zdraví,Primulus.cz,https://www.primulus.cz/feed/Detail?id=heureka%0D,Heureka
Zdraví,Kloubus.cz,https://www.kloubus.cz/feed/Detail?id=heureka,Heureka
Zdraví,Altevita.sk,https://www.altevita.sk/heureka/export/products.xml,Heureka
Zdraví,Altevita.sk,https://www.altevita.sk/universal.xml,
